service_family,capacity_teu,demand_set_id,seed,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,completed,total_revenue,transported_volume,accepted_volume,solver_status,ordinary_rejection_count,feasibility_rejection_count,feasibility_rejected_demand_ids,solver_failure_count,solve_time_seconds,mip_gap,variable_count,constraint_count,solver_node_count,revenue_per_accepted_teu
service_family_1,15,demand_set_02,11002,dca_rm,controlled_substitute_input,04edd66e15f2d1d39ca1c0d60a23cd09e8adb3a698e11852e81b26c671d20e2b,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,29212.5,127.0,127.0,all_events_processed,4,1,"('K0138',)",0,12.391043155046646,,,,,230.01968503937007
service_family_1,15,demand_set_02,11002,dca_r,controlled_substitute_input,04edd66e15f2d1d39ca1c0d60a23cd09e8adb3a698e11852e81b26c671d20e2b,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,29212.5,127.0,127.0,all_events_processed,4,1,"('K0138',)",0,10.781857924012002,,,,,230.01968503937007
service_family_1,15,demand_set_02,11002,dca_rrm,controlled_substitute_input,04edd66e15f2d1d39ca1c0d60a23cd09e8adb3a698e11852e81b26c671d20e2b,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,29212.5,127.0,127.0,all_events_processed,4,1,"('K0138',)",0,20.667934124998283,,,,,230.01968503937007
service_family_1,15,demand_set_03,11003,dca,controlled_substitute_input,e2471cfa6f09e4b6bd21dbb92bda5061c4462d7e7edb0bd12060cff44499602a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23412.5,101.0,101.0,all_events_processed,0,0,(),0,2.050005463010166,,,,,231.80693069306932
service_family_1,15,demand_set_03,11003,dca_rm,controlled_substitute_input,e2471cfa6f09e4b6bd21dbb92bda5061c4462d7e7edb0bd12060cff44499602a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,10.413279993983451,,,,,230.75980392156862
service_family_1,15,demand_set_03,11003,dca_r,controlled_substitute_input,e2471cfa6f09e4b6bd21dbb92bda5061c4462d7e7edb0bd12060cff44499602a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,8.315954894991592,,,,,230.75980392156862
service_family_1,15,demand_set_03,11003,dca_rrm,controlled_substitute_input,e2471cfa6f09e4b6bd21dbb92bda5061c4462d7e7edb0bd12060cff44499602a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,16.807330013019964,,,,,230.75980392156862
service_family_1,15,demand_set_04,11004,dca,controlled_substitute_input,d6386764104eff41bc589265627d980f72a0033bb5f688979c282e8ce073373b,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,26262.5,112.0,112.0,all_events_processed,11,2,"('K0087', 'K0139')",0,2.481314701028168,,,,,234.48660714285714
service_family_1,15,demand_set_04,11004,dca_rm,controlled_substitute_input,d6386764104eff41bc589265627d980f72a0033bb5f688979c282e8ce073373b,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,28325.0,120.0,120.0,all_events_processed,6,1,"('K0139',)",0,11.554518314020243,,,,,236.04166666666666
service_family_1,15,demand_set_04,11004,dca_r,controlled_substitute_input,d6386764104eff41bc589265627d980f72a0033bb5f688979c282e8ce073373b,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,28481.25,121.0,121.0,all_events_processed,5,1,"('K0087',)",0,12.033739824022632,,,,,235.38223140495867
service_family_1,15,demand_set_04,11004,dca_rrm,controlled_substitute_input,d6386764104eff41bc589265627d980f72a0033bb5f688979c282e8ce073373b,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,28481.25,121.0,121.0,all_events_processed,5,1,"('K0087',)",0,21.22589905903442,,,,,235.38223140495867
service_family_1,15,demand_set_05,11005,dca,controlled_substitute_input,fa169cb8149efeb1df85032cde7192f323a1e5f5056202b9b2fcaf3650566582,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,24162.5,113.0,113.0,all_events_processed,1,0,(),0,2.083554374985397,,,,,213.82743362831857
service_family_1,15,demand_set_05,11005,dca_rm,controlled_substitute_input,fa169cb8149efeb1df85032cde7192f323a1e5f5056202b9b2fcaf3650566582,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,24162.5,113.0,113.0,all_events_processed,1,0,(),0,11.671500458964147,,,,,213.82743362831857
service_family_1,15,demand_set_05,11005,dca_r,controlled_substitute_input,fa169cb8149efeb1df85032cde7192f323a1e5f5056202b9b2fcaf3650566582,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,23312.5,108.0,108.0,all_events_processed,2,2,"('K0111', 'K0113')",0,8.937113320047501,,,,,215.8564814814815
service_family_1,15,demand_set_05,11005,dca_rrm,controlled_substitute_input,fa169cb8149efeb1df85032cde7192f323a1e5f5056202b9b2fcaf3650566582,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,24162.5,113.0,113.0,all_events_processed,1,0,(),0,18.319497513992246,,,,,213.82743362831857
service_family_1,20,demand_set_01,11001,dca,controlled_substitute_input,a932f96be9a808dbd9f2c3993017b8b2f954a730be71167c86a549bc6ce858c8,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,2.049933645990677,,,,,220.57522123893804
service_family_1,20,demand_set_01,11001,dca_rm,controlled_substitute_input,a932f96be9a808dbd9f2c3993017b8b2f954a730be71167c86a549bc6ce858c8,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,9.849163594015408,,,,,220.57522123893804
service_family_1,20,demand_set_01,11001,dca_r,controlled_substitute_input,a932f96be9a808dbd9f2c3993017b8b2f954a730be71167c86a549bc6ce858c8,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,8.48482096096268,,,,,220.57522123893804
service_family_1,20,demand_set_01,11001,dca_rrm,controlled_substitute_input,a932f96be9a808dbd9f2c3993017b8b2f954a730be71167c86a549bc6ce858c8,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,15.772987200005446,,,,,220.57522123893804
service_family_1,20,demand_set_02,11002,dca,controlled_substitute_input,1dec8dcda9d9bbdfc0fee633d7bd2ec11e05a9a07e245b2569c6844f0c1950c1,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,31343.75,135.0,135.0,all_events_processed,0,0,(),0,2.3940461280290037,,,,,232.17592592592592
service_family_1,20,demand_set_02,11002,dca_rm,controlled_substitute_input,1dec8dcda9d9bbdfc0fee633d7bd2ec11e05a9a07e245b2569c6844f0c1950c1,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,31343.75,135.0,135.0,all_events_processed,0,0,(),0,12.484700302011333,,,,,232.17592592592592
service_family_1,20,demand_set_02,11002,dca_r,controlled_substitute_input,1dec8dcda9d9bbdfc0fee633d7bd2ec11e05a9a07e245b2569c6844f0c1950c1,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,31343.75,135.0,135.0,all_events_processed,0,0,(),0,10.802758739970159,,,,,232.17592592592592
service_family_1,20,demand_set_02,11002,dca_rrm,controlled_substitute_input,1dec8dcda9d9bbdfc0fee633d7bd2ec11e05a9a07e245b2569c6844f0c1950c1,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,31343.75,135.0,135.0,all_events_processed,0,0,(),0,20.925959632964805,,,,,232.17592592592592
service_family_1,20,demand_set_03,11003,dca,controlled_substitute_input,9ba72b2633dccd77ed2bed224f8457abc1e5cdcf711ed12ad38f58dacf755d5a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,2.047539074032102,,,,,230.75980392156862
service_family_1,20,demand_set_03,11003,dca_rm,controlled_substitute_input,9ba72b2633dccd77ed2bed224f8457abc1e5cdcf711ed12ad38f58dacf755d5a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,10.315869979967829,,,,,230.75980392156862
service_family_1,20,demand_set_03,11003,dca_r,controlled_substitute_input,9ba72b2633dccd77ed2bed224f8457abc1e5cdcf711ed12ad38f58dacf755d5a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,7.949512958992273,,,,,230.75980392156862
service_family_1,20,demand_set_03,11003,dca_rrm,controlled_substitute_input,9ba72b2633dccd77ed2bed224f8457abc1e5cdcf711ed12ad38f58dacf755d5a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,16.391619374975562,,,,,230.75980392156862
service_family_1,20,demand_set_04,11004,dca,controlled_substitute_input,6247dca81a2bc48161cf121e91afe667178c3707ffde1b32cc03d69d94d068cc,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,29181.25,126.0,126.0,all_events_processed,2,0,(),0,2.2096764739835635,,,,,231.59722222222223
service_family_1,20,demand_set_04,11004,dca_rm,controlled_substitute_input,6247dca81a2bc48161cf121e91afe667178c3707ffde1b32cc03d69d94d068cc,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,30206.25,130.0,130.0,all_events_processed,0,0,(),0,11.52287697099382,,,,,232.35576923076923
service_family_1,20,demand_set_04,11004,dca_r,controlled_substitute_input,6247dca81a2bc48161cf121e91afe667178c3707ffde1b32cc03d69d94d068cc,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,30206.25,130.0,130.0,all_events_processed,0,0,(),0,12.52052384102717,,,,,232.35576923076923
service_family_1,20,demand_set_04,11004,dca_rrm,controlled_substitute_input,6247dca81a2bc48161cf121e91afe667178c3707ffde1b32cc03d69d94d068cc,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,30206.25,130.0,130.0,all_events_processed,0,0,(),0,21.760828395024873,,,,,232.35576923076923
service_family_1,20,demand_set_05,11005,dca,controlled_substitute_input,b49acd2524fdff113d1349188675e5d0bbaccc49e14271c6d6b5fb8156750805,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,24662.5,115.0,115.0,all_events_processed,0,0,(),0,2.193712031992618,,,,,214.45652173913044
