service_family,capacity_teu,demand_set_id,seed,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,revenue_ir_percent,volume_ir_percent
service_family_1,15,demand_set_04,11004,dca_r,controlled_substitute_input,d6386764104eff41bc589265627d980f72a0033bb5f688979c282e8ce073373b,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,8.448357924797715,8.035714285714286
service_family_1,15,demand_set_04,11004,dca_rrm,controlled_substitute_input,d6386764104eff41bc589265627d980f72a0033bb5f688979c282e8ce073373b,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,8.448357924797715,8.035714285714286
service_family_1,15,demand_set_05,11005,dca,controlled_substitute_input,fa169cb8149efeb1df85032cde7192f323a1e5f5056202b9b2fcaf3650566582,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,0.0,0.0
service_family_1,15,demand_set_05,11005,dca_rm,controlled_substitute_input,fa169cb8149efeb1df85032cde7192f323a1e5f5056202b9b2fcaf3650566582,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,0.0,0.0
service_family_1,15,demand_set_05,11005,dca_r,controlled_substitute_input,fa169cb8149efeb1df85032cde7192f323a1e5f5056202b9b2fcaf3650566582,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,-3.517847904811174,-4.424778761061947
service_family_1,15,demand_set_05,11005,dca_rrm,controlled_substitute_input,fa169cb8149efeb1df85032cde7192f323a1e5f5056202b9b2fcaf3650566582,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,0.0,0.0
service_family_1,20,demand_set_01,11001,dca,controlled_substitute_input,a932f96be9a808dbd9f2c3993017b8b2f954a730be71167c86a549bc6ce858c8,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,0.0,0.0
service_family_1,20,demand_set_01,11001,dca_rm,controlled_substitute_input,a932f96be9a808dbd9f2c3993017b8b2f954a730be71167c86a549bc6ce858c8,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,0.0,0.0
service_family_1,20,demand_set_01,11001,dca_r,controlled_substitute_input,a932f96be9a808dbd9f2c3993017b8b2f954a730be71167c86a549bc6ce858c8,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,0.0,0.0
service_family_1,20,demand_set_01,11001,dca_rrm,controlled_substitute_input,a932f96be9a808dbd9f2c3993017b8b2f954a730be71167c86a549bc6ce858c8,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,0.0,0.0
service_family_1,20,demand_set_02,11002,dca,controlled_substitute_input,1dec8dcda9d9bbdfc0fee633d7bd2ec11e05a9a07e245b2569c6844f0c1950c1,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_1,20,demand_set_02,11002,dca_rm,controlled_substitute_input,1dec8dcda9d9bbdfc0fee633d7bd2ec11e05a9a07e245b2569c6844f0c1950c1,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_1,20,demand_set_02,11002,dca_r,controlled_substitute_input,1dec8dcda9d9bbdfc0fee633d7bd2ec11e05a9a07e245b2569c6844f0c1950c1,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_1,20,demand_set_02,11002,dca_rrm,controlled_substitute_input,1dec8dcda9d9bbdfc0fee633d7bd2ec11e05a9a07e245b2569c6844f0c1950c1,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_1,20,demand_set_03,11003,dca,controlled_substitute_input,9ba72b2633dccd77ed2bed224f8457abc1e5cdcf711ed12ad38f58dacf755d5a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_1,20,demand_set_03,11003,dca_rm,controlled_substitute_input,9ba72b2633dccd77ed2bed224f8457abc1e5cdcf711ed12ad38f58dacf755d5a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_1,20,demand_set_03,11003,dca_r,controlled_substitute_input,9ba72b2633dccd77ed2bed224f8457abc1e5cdcf711ed12ad38f58dacf755d5a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_1,20,demand_set_03,11003,dca_rrm,controlled_substitute_input,9ba72b2633dccd77ed2bed224f8457abc1e5cdcf711ed12ad38f58dacf755d5a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_1,20,demand_set_04,11004,dca,controlled_substitute_input,6247dca81a2bc48161cf121e91afe667178c3707ffde1b32cc03d69d94d068cc,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,0.0,0.0
service_family_1,20,demand_set_04,11004,dca_rm,controlled_substitute_input,6247dca81a2bc48161cf121e91afe667178c3707ffde1b32cc03d69d94d068cc,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,3.5125294495609336,3.1746031746031744
service_family_1,20,demand_set_04,11004,dca_r,controlled_substitute_input,6247dca81a2bc48161cf121e91afe667178c3707ffde1b32cc03d69d94d068cc,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,3.5125294495609336,3.1746031746031744
service_family_1,20,demand_set_04,11004,dca_rrm,controlled_substitute_input,6247dca81a2bc48161cf121e91afe667178c3707ffde1b32cc03d69d94d068cc,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,3.5125294495609336,3.1746031746031744
